,ECG,TIME
636,2745.50927734375,1609287641.43613
637,2837.30810546875,1609287641.436137
638,2763.994384765625,1609287641.436144
639,2657.4658203125,1609287641.436151
640,2719.76025390625,1609287641.436158
641,2840.638427734375,1609287641.436165
642,2797.611328125,1609287641.436172
643,2662.271484375,1609287641.436179
644,2651.945068359375,1609287641.436186
645,2777.539306640625,1609287641.436193
646,2795.6220703125,1609287641.4362
647,2675.36962890625,1609287641.494649
648,2642.19970703125,1609287641.494669
649,2771.392578125,1609287641.494676
650,2804.71923828125,1609287641.494683
651,2673.2685546875,1609287641.49469
652,2611.17529296875,1609287641.494722
653,2708.897216796875,1609287641.494729
654,2775.21484375,1609287641.494736
655,2659.030517578125,1609287641.494743
656,2582.81103515625,1609287641.49475
657,2696.53662109375,1609287641.494757
658,2778.165283203125,1609287641.494764
659,2672.888671875,1609287641.494771
660,2562.381591796875,1609287641.494778
661,2627.00048828125,1609287641.494785
662,2734.13232421875,1609287641.553398
663,2691.217041015625,1609287641.553417
664,2560.258056640625,1609287641.553425
665,2579.9052734375,1609287641.553433
666,2698.458984375,1609287641.553442
667,2679.68359375,1609287641.55345
668,2533.927734375,1609287641.553458
669,2532.765380859375,1609287641.553466
670,2673.0673828125,1609287641.553474
671,2709.992431640625,1609287641.553482
672,2574.585693359375,1609287641.55349
673,2525.724609375,1609287641.553499
674,2639.539794921875,1609287641.553507
675,2703.711669921875,1609287641.553544
676,2593.539794921875,1609287641.553552
677,2524.607177734375,1609287641.613685
678,2636.611572265625,1609287641.613703
679,2723.269287109375,1609287641.61371
680,2639.517333984375,1609287641.613717
681,2538.688720703125,1609287641.613724
682,2612.20361328125,1609287641.613731
683,2714.6416015625,1609287641.613738
684,2650.112060546875,1609287641.613745
685,2548.970458984375,1609287641.613752
686,2584.39794921875,1609287641.613759
687,2694.681396484375,1609287641.613766
688,2647.38525390625,1609287641.613773
689,2529.099853515625,1609287641.61378
690,2544.81298828125,1609287641.613787
691,2666.18310546875,1609287641.613795
692,2669.55810546875,1609287641.67385
693,2555.40771484375,1609287641.673867
694,2553.3291015625,1609287641.673874
695,2670.6533203125,1609287641.673881
696,2702.616455078125,1609287641.673889
697,2598.837158203125,1609287641.673896
698,2573.088134765625,1609287641.673904
699,2691.6640625,1609287641.673936
700,2751.589111328125,1609287641.673942
701,2655.946044921875,1609287641.673949
702,2589.069580078125,1609287641.673956
703,2673.804931640625,1609287641.673963
704,2770.073974609375,1609287641.673971
705,2697.85546875,1609287641.673978
706,2593.78564453125,1609287641.673985
707,2668.820556640625,1609287641.734503
708,2788.29052734375,1609287641.734522
709,2733.0146484375,1609287641.734529
710,2619.221923828125,1609287641.734535
711,2674.4755859375,1609287641.734542
712,2801.2099609375,1609287641.734549
713,2756.059326171875,1609287641.734556
714,2637.125732421875,1609287641.734563
715,2643.406494140625,1609287641.73457
716,2756.10400390625,1609287641.734577
717,2767.056396484375,1609287641.734583
718,2650.98388671875,1609287641.734591
719,2643.630126953125,1609287641.734598
720,2755.94775390625,1609287641.734605
721,2782.6357421875,1609287641.734611
722,2676.77783203125,1609287641.794334
723,2620.317138671875,1609287641.794348
724,2747.34228515625,1609287641.794354
725,2826.020263671875,1609287641.79436
726,2729.4384765625,1609287641.794366
727,2641.439697265625,1609287641.794372
728,2745.487060546875,1609287641.794378
729,2853.222412109375,1609287641.794384
730,2784.89306640625,1609287641.79439
731,2686.2548828125,1609287641.794396
732,2748.236328125,1609287641.794402
733,2850.830810546875,1609287641.794408
734,2790.346923828125,1609287641.794415
735,2699.822509765625,1609287641.794421
736,2717.882568359375,1609287641.794427
737,2855.524658203125,1609287641.854004
738,2848.349853515625,1609287641.854024
739,2730.891357421875,1609287641.854031
740,2738.021484375,1609287641.854038
741,2860.86669921875,1609287641.854045
742,2861.716064453125,1609287641.854052
743,2751.968994140625,1609287641.854059
744,2712.853515625,1609287641.854066
745,2853.334228515625,1609287641.85413
746,2930.492431640625,1609287641.854136
747,2806.216796875,1609287641.854143
748,2726.510498046875,1609287641.854151
749,2841.3984375,1609287641.854158
750,2904.810302734375,1609287641.854165
751,2804.89794921875,1609287641.854172
752,2733.193603515625,1609287641.914283
753,2821.3935546875,1609287641.914302
754,2917.103759765625,1609287641.91431
755,2852.820068359375,1609287641.914317
756,2734.199462890625,1609287641.914324
757,2770.14111328125,1609287641.914331
758,2883.509033203125,1609287641.914337
759,2846.829833984375,1609287641.914344
760,2739.787353515625,1609287641.914351
761,2772.4208984375,1609287641.914358
762,2903.87158203125,1609287641.914365
763,2905.391357421875,1609287641.914372
764,2787.664794921875,1609287641.914379
765,2754.6064453125,1609287641.914386
766,2875.9541015625,1609287641.914393
767,2909.280517578125,1609287641.974365
768,2797.92431640625,1609287641.974414
769,2749.0185546875,1609287641.974422
770,2857.9609375,1609287641.97443
771,2912.387451171875,1609287641.974438
772,2805.054443359375,1609287641.974446
773,2753.93603515625,1609287641.974455
774,2851.322509765625,1609287641.974463
775,2932.1240234375,1609287641.974471
